# Format
# Grapheme ; Code ; Equivalent Sequences ; Lowercase ; Titlecase ; Uppercase ; UTF-8 Length ; UTF-16 Length

# Latin-1
û;00FB;00FB,0075 0302;00FB;00DB;00DB;2;1
ü;00FC;00FC,0075 0308;00FC;00DC;00DC;2;1
ý;00FD;00FD,0079 0301;00FD;00DD;00DD;2;1
ÿ;00FF;00FF,0079 0308;00FF;0178;0178;2;1

# Latin Extended-A
Ā;0100;0100,0041 0304;0101;0100;0100;2;1
ā;0101;0101,0061 0304;0101;0100;0100;2;1
Ă;0102;0102,0041 0306;0103;0102;0102;2;1
ă;0103;0103,0061 0306;0103;0102;0102;2;1
Ą;0104;0104,0041 0328;0105;0104;0104;2;1
ą;0105;0105,0061 0328;0105;0104;0104;2;1
Ć;0106;0106,0043 0301;0107;0106;0106;2;1
ć;0107;0107,0063 0301;0107;0106;0106;2;1
Ĉ;0108;0108,0043 0302;0109;0108;0108;2;1
ĉ;0109;0109,0063 0302;0109;0108;0108;2;1
Ċ;010A;010A,0043 0307;010B;010A;010A;2;1
ċ;010B;010B,0063 0307;010B;010A;010A;2;1
Č;010C;010C,0043 030C;010D;010C;010C;2;1
č;010D;010D,0063 030C;010D;010C;010C;2;1
Ď;010E;010E,0044 030C;010F;010E;010E;2;1
ď;010F;010F,0064 030C;010F;010E;010E;2;1
Đ;0110;0110,0044 0335;0111;0110;0110;2;1
đ;0111;0111,0064 0335;0111;0110;0110;2;1
Ē;0112;0112,0045 0304;0113;0112;0112;2;1
ē;0113;0113,0065 0304;0113;0112;0112;2;1
Ĕ;0114;0114,0045 0306;0115;0114;0114;2;1
ĕ;0115;0115,0065 0306;0115;0114;0114;2;1
Ė;0116;0116,0045 0307;0117;0116;0116;2;1
ė;0117;0117,0065 0307;0117;0116;0116;2;1
Ę;0118;0118,0045 0328;0119;0118;0118;2;1
ę;0119;0119,0065 0328;0119;0118;0118;2;1
Ě;011A;011A,0045 030C;011B;011A;011A;2;1
ě;011B;011B,0065 030C;011B;011A;011A;2;1
Ĝ;011C;011C,0047 0302;011D;011C;011C;2;1
ĝ;011D;011D,0067 0302;011D;011C;011C;2;1
Ğ;011E;011E,0047 0306;011F;011E;011E;2;1
ğ;011F;011F,0067 0306;011F;011E;011E;2;1
Ġ;0120;0120,0047 0307;0121;0120;0120;2;1
ġ;0121;0121,0067 0307;0121;0120;0120;2;1
Ģ;0122;0122,0047 0327;0123;0122;0122;2;1
ģ;0123;0123,0067 0327;0123;0122;0122;2;1
Ĥ;0124;0124,0048 0302;0125;0124;0124;2;1
ĥ;0125;0125,0068 0302;0125;0124;0124;2;1
Ħ;0126;0126,0048 0336;0127;0126;0126;2;1
ħ;0127;0127,0068 0336;0127;0126;0126;2;1
Ĩ;0128;0128,0049 0303;0129;0128;0128;2;1
ĩ;0129;0129,0069 0303,0131 0303;0129;0128;0128;2;1
Ī;012A;012A,0049 0304;012B;012A;012A;2;1
ī;012B;012B,0069 0304,0131 0304;012B;012A;012A;2;1
Ĭ;012C;012C,0049 0306;012D;012C;012C;2;1
ĭ;012D;012D,0069 0306,0131 0306;012D;012C;012C;2;1
Į;012E;012E,0049 0328;012F;012E;012E;2;1
į;012F;012F,0069 0328;012F;012E;012E;2;1
İ;0130;0130,0049 0307;0069;0130;0130;2;1
Ĵ;0134;0134,004A 0302;0135;0134;0134;2;1
ĵ;0135;0135,006A 0307;0135;0134;0134;2;1
Ķ;0136;0136,004B 0327;0137;0136;0136;2;1
ķ;0137;0137,006B 0327;0137;0136;0136;2;1
Ĺ;0139;0139,004C 0304;013A;0139;0139;2;1
ĺ;013A;013A,006C 0304;013A;0139;0139;2;1
Ļ;013B;013B,004C 0327;013C;013B;013B;2;1
ļ;013C;013C,006C 0327;013C;013B;013B;2;1
Ľ;013D;013D,004C 030C;013E;013D;013D;2;1
ľ;013E;013E,006C 030C;013E;013D;013D;2;1
Ł;0141;0141,004C 0337;0142;0141;0141;2;1
ł;0142;0142,006C 0337;0142;0141;0141;2;1
Ń;0143;0143,004E 0301;0144;0143;0143;2;1
ń;0144;0144,006E 0301;0144;0143;0143;2;1
Ņ;0145;0145,004E 0327;0146;0145;0145;2;1
ņ;0146;0146,006E 0327;0146;0145;0145;2;1
Ň;0147;0147,004E 030C;0148;0147;0147;2;1
ň;0148;0148,006E 030C;0148;0147;0147;2;1
Ŋ;014A;014A,004E 0321;014B;014A;014A;2;1
ŋ;014B;014B,006E 0321;014B;014A;014A;2;1
Ō;014C;014C,004F 0304;014D;014C;014C;2;1
ō;014D;014D,006F 0304;014D;014C;014C;2;1
Ŏ;014E;014E,004F 0306;014F;014E;014E;2;1
ŏ;014F;014F,006F 0306;014F;014E;014E;2;1
Ő;0150;0150,004F 030B;0151;0150;0150;2;1
ő;0151;0151,006F 030B;0151;0150;0150;2;1
Ŕ;0154;0154,0052 0301;0155;0154;0154;2;1
ŕ;0155;0155,0072 0301;0155;0154;0154;2;1
Ŗ;0156;0156,0052 0327;0157;0156;0156;2;1
ŗ;0157;0157,0072 0327;0157;0156;0156;2;1
Ř;0158;0158,0052 030C;0159;0158;0158;2;1
ř;0159;0159,0072 030C;0159;0158;0158;2;1
Ś;015A;015A,0053 0301;015B;015A;015A;2;1
ś;015B;015B,0073 0301;015B;015A;015A;2;1
Ŝ;015C;015C,0053 0302;015D;015C;015C;2;1
ŝ;015D;015D,0073 0302;015D;015C;015C;2;1
Ş;015E;015E,0053 0327;015F;015E;015E;2;1
ş;015F;015F,0073 0327;015F;015E;015E;2;1
Š;0160;0160,0053 030C;0161;0160;0160;2;1
š;0161;0161,0073 030C;0161;0160;0160;2;1
Ţ;0162;0162,0054 0327;0163;0162;0162;2;1
ţ;0163;0163,0074 0327;0163;0162;0162;2;1
Ť;0164;0164,0054 030C;0165;0164;0164;2;1
ť;0165;0165,0074 030C;0165;0164;0164;2;1
Ŧ;0166;0166,0054 0335;0167;0166;0166;2;1
ŧ;0167;0167,0074 0335;0167;0166;0166;2;1
Ũ;0168;0168,0055 0303;0169;0168;0168;2;1
ũ;0169;0169,0075 0303;0169;0168;0168;2;1
Ū;016A;016A,0055 0304;016B;016A;016A;2;1
ū;016B;016B,0075 0304;016B;016A;016A;2;1
Ŭ;016C;016C,0055 0306;016D;016C;016C;2;1
ŭ;016D;016D,0075 0306;016D;016C;016C;2;1
Ů;016E;016E,0055 030A;016F;016E;016E;2;1
ů;016F;016F,0075 030A;016F;016E;016E;2;1
Ű;0170;0170,0055 030B;0171;0170;0170;2;1
ű;0171;0171,0075 030B;0171;0170;0170;2;1
Ų;0172;0172,0055 0328;0173;0172;0172;2;1
ų;0173;0173,0075 0328;0173;0172;0172;2;1
Ŵ;0174;0174,0057 0302;0175;0174;0174;2;1
ŵ;0175;0175,0077 0302;0175;0174;0174;2;1
Ŷ;0176;0176,0059 0302;0177;0176;0176;2;1
ŷ;0177;0177,0079 0302;0177;0176;0176;2;1
Ÿ;0178;0178,0059 0308;00FF;0178;0178;2;1
Ź;0179;0179,005A 0301;017A;0179;0179;2;1
ź;017A;017A,007A 0301;017A;0179;0179;2;1
Ż;017B;017B,005A 0307;017C;017B;017B;2;1
ż;017C;017C,007A 0307;017C;017B;017B;2;1
Ž;017D;017D,005A 030C;017E;017D;017D;2;1
ž;017E;017E,007A 030C;017E;017D;017D;2;1
