# Format
# Grapheme ; Code ; Equivalent Sequences ; Lowercase ; Titlecase ; Uppercase ; UTF-8 Length ; UTF-16 Length

# Latin-1
Ī;012A;012A,0049 0304;012B;012A;012A;2;2
ī;012B;012B,0069 0304,0131 0304;012B;012A;012A;2;2
Ĭ;012C;012C,0049 0306;012D;012C;012C;2;2
ĭ;012D;012D,0069 0306,0131 0306;012D;012C;012C;2;2
Į;012E;012E,0049 0328;012F;012E;012E;2;2
į;012F;012F,0069 0328;012F;012E;012E;2;2
İ;0130;0130,0049 0307;0069;0130;0130;2;2
Ĵ;0134;0134,004A 0302;0135;0134;0134;2;2
ĵ;0135;0135,006A 0307;0135;0134;0134;2;2
Ķ;0136;0136,004B 0327;0137;0136;0136;2;2
ķ;0137;0137,006B 0327;0137;0136;0136;2;2
Ĺ;0139;0139,004C 0304;013A;0139;0139;2;2
ĺ;013A;013A,006C 0304;013A;0139;0139;2;2
Ļ;013B;013B,004C 0327;013C;013B;013B;2;2
ļ;013C;013C,006C 0327;013C;013B;013B;2;2
Ľ;013D;013D,004C 030C;013E;013D;013D;2;2
ľ;013E;013E,006C 030C;013E;013D;013D;2;2
Ł;0141;0141,004C 0337;0142;0141;0141;2;2
ł;0142;0142,006C 0337;0142;0141;0141;2;2
Ń;0143;0143,004E 0301;0144;0143;0143;2;2
ń;0144;0144,006E 0301;0144;0143;0143;2;2
Ņ;0145;0145,004E 0327;0146;0145;0145;2;2
ņ;0146;0146,006E 0327;0146;0145;0145;2;2
Ň;0147;0147,004E 030C;0148;0147;0147;2;2
ň;0148;0148,006E 030C;0148;0147;0147;2;2
Ŋ;014A;014A,004E 0321;014B;014A;014A;2;2
ŋ;014B;014B,006E 0321;014B;014A;014A;2;2
Ō;014C;014C,004F 0304;014D;014C;014C;2;2
ō;014D;014D,006F 0304;014D;014C;014C;2;2
Ŏ;014E;014E,004F 0306;014F;014E;014E;2;2
ŏ;014F;014F,006F 0306;014F;014E;014E;2;2
Ő;0150;0150,004F 030B;0151;0150;0150;2;2
ő;0151;0151,006F 030B;0151;0150;0150;2;2
Ŕ;0154;0154,0052 0301;0155;0154;0154;2;2
ŕ;0155;0155,0072 0301;0155;0154;0154;2;2
Ŗ;0156;0156,0052 0327;0157;0156;0156;2;2
ŗ;0157;0157,0072 0327;0157;0156;0156;2;2
Ř;0158;0158,0052 030C;0159;0158;0158;2;2
ř;0159;0159,0072 030C;0159;0158;0158;2;2
Ś;015A;015A,0053 0301;015B;015A;015A;2;2
ś;015B;015B,0073 0301;015B;015A;015A;2;2
Ŝ;015C;015C,0053 0302;015D;015C;015C;2;2
ŝ;015D;015D,0073 0302;015D;015C;015C;2;2
Ş;015E;015E,0053 0327;015F;015E;015E;2;2
ş;015F;015F,0073 0327;015F;015E;015E;2;2
Š;0160;0160,0053 030C;0161;0160;0160;2;2
š;0161;0161,0073 030C;0161;0160;0160;2;2
Ţ;0162;0162,0054 0327;0163;0162;0162;2;2
ţ;0163;0163,0074 0327;0163;0162;0162;2;2
Ť;0164;0164,0054 030C;0165;0164;0164;2;2
ť;0165;0165,0074 030C;0165;0164;0164;2;2
Ŧ;0166;0166,0054 0335;0167;0166;0166;2;2
ŧ;0167;0167,0074 0335;0167;0166;0166;2;2
